Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW18ANR18G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",180nH,±2%,140mA,,2.2Ω,1300MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR18J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",180nH,±5%,140mA,,2.2Ω,1300MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR20G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",200nH,±2%,120mA,,2.4Ω,1250MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR20J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",200nH,±5%,120mA,,2.4Ω,1250MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR22G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",220nH,±2%,120mA,,2.5Ω,1200MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR22J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",220nH,±5%,120mA,,2.5Ω,1200MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR27G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",270nH,±2%,110mA,,3.4Ω,960MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR27J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",270nH,±5%,110mA,,3.4Ω,960MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR33G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",330nH,±2%,85mA,,5.5Ω,800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR33J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",330nH,±5%,85mA,,5.5Ω,800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR39G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",390nH,±2%,80mA,,6.2Ω,800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR39J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",390nH,±5%,80mA,,6.2Ω,800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR47G00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",470nH,±2%,75mA,,7.0Ω,700MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18ANR47J00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",470nH,±5%,75mA,,7.0Ω,700MHz,LQW18AN_00
