Status,Features,Part number # indicates the package specification code.,L size,W size,T size,Size code inch (mm),Inductance,Inductance Tolerance,Rated Current (Itemp),Rated Current (Isat),Rdc (max.),SRF (min.),Series
In Production,"General,125?,WoundNonmag",LQW15AN56NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),56nH,±5%,200mA,,1.17?,2.8GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N0B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.0nH,±0.1nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N0C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.0nH,±0.2nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N0D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.0nH,±0.5nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N1B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.1nH,±0.1nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N1C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.1nH,±0.2nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N1D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.1nH,±0.5nH,600mA,,0.12?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N8B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.8nH,±0.1nH,700mA,,0.09?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N8C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.8nH,±0.2nH,700mA,,0.09?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN5N8D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),5.8nH,±0.5nH,700mA,,0.09?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN62NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),62nH,±2%,145mA,,1.82?,2.6GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN62NH00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),62nH,±3%,145mA,,1.82?,2.6GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN62NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),62nH,±5%,145mA,,1.82?,2.6GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN68NG00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),68nH,±2%,140mA,,1.96?,2.5GHz,LQW15AN_00
